平方根,被依赖,无理数
平方根,被依赖,开方
无理数,无关,开方
平方根,无关,分数
平方根,无关,分母
平方根,无关,分子
平方根,无关,约分
无理数,依赖,分数
无理数,无关,分母
无理数,无关,分子
无理数,无关,约分
分数,包含,分母
分数,包含,分子
分数,被依赖,约分
分母,同位,分子
分母,被依赖,约分
分子,被依赖,约分
非完全平方数,无关,平方根
非完全平方数,无关,无理数
非完全平方数,无关,超越数
平方根,无关,超越数
无理数,包含,超越数
集合,无关,半径
集合,无关,平面
集合,无关,圆心
集合,无关,定点
集合,无关,距离
集合,无关,圆
半径,无关,平面
半径,同位,圆心
半径,无关,定点
半径,拥有,距离
半径,属于,圆
平面,被依赖,圆心
平面,无关,定点
平面,拥有,距离
平面,被依赖,圆
圆心,属于,定点
圆心,属性,距离
圆心,属于,圆
定点,属性,距离
定点,无关,圆
距离,属性,圆
二维极坐标系,属于,极坐标
二维极坐标系,拥有,方位角
二维极坐标系,无关,平行
二维极坐标系,拥有,半径
二维极坐标系,依赖,参考平面
二维极坐标系,依赖,平面
极坐标,拥有,方位角
极坐标,无关,平行
极坐标,拥有,半径
极坐标,依赖,参考平面
极坐标,依赖,平面
方位角,无关,平行
方位角,无关,半径
方位角,依赖,参考平面
方位角,依赖,平面
平行,无关,半径
平行,属性,参考平面
平行,属性,平面
半径,无关,参考平面
参考平面,属于,平面
对角,属性,矩形
对角线,属性,矩形
对角线,依赖,角
矩形,拥有,角
统计表,包含,横坐标
统计表,包含,纵坐标
统计表,无关,正比例
统计表,无关,对角线
统计表,无关,直线
横坐标,同位,纵坐标
横坐标,无关,正比例
横坐标,无关,对角线
横坐标,无关,直线
纵坐标,无关,正比例
纵坐标,无关,对角线
纵坐标,无关,直线
正比例,无关,对角线
正比例,无关,直线
对角线,属于,直线
角平分线,属于,对称轴
角平分线,依赖,角
对称轴,无关,角
等腰三角形,拥有,垂直平分线
等腰三角形,拥有,对称轴
垂直平分线,属于,对称轴
等边三角形,拥有,垂直平分线
等边三角形,拥有,对称轴
对称轴,无关,对角线
对称轴,无关,中点
对称轴,属性,矩形
对称轴,属性,菱形
对称轴,无关,对边
对称轴,属于,直线
对角线,无关,中点
对角线,属性,菱形
对角线,无关,对边
中点,属性,矩形
中点,属性,菱形
中点,无关,对边
中点,无关,直线
矩形,无关,菱形
矩形,无关,对边
矩形,无关,直线
菱形,无关,对边
菱形,无关,直线
对边,属于,直线
正方形,拥有,平行
正方形,无关,对边
正方形,包含,边
平行,依赖,对边
平行,依赖,边
对边,属于,边
互相垂直,依赖,对角线
互相垂直,无关,平分
互相垂直,无关,对角
对角线,无关,平分
对角线,依赖,对角
平分,无关,对角
正方形,包含,直角
互相垂直,属性,正方形
正方形,拥有,对角线
正方形,拥有,平分
正方形,包含,对角
直角,属于,角
直角,属于,矩形
角,包含,矩形
四边形,拥有,对角线
四边形,无关,直角
四边形,包含,矩形
四边形,包含,角
对角线,无关,直角
互相垂直,反义,平行
互相垂直,无关,对边
互相垂直,依赖,边
对角线,无关,平行
对角线,属于,边
平行,无关,平分
平行,无关,对角
平分,无关,对边
平分,无关,边
对角,同位,对边
对角,依赖,边
多边形,包含,线段
多边形,包含,边
线段,包含,边
多边形,包含,端点
多边形,包含,顶点
线段,包含,端点
线段,包含,顶点
端点,同义,顶点
多边形,包含,内角
多边形,包含,角
内角,依赖,边
内角,属于,角
边,被依赖,角
多边形,拥有,对角线
对角线,无关,线段
对角线,依赖,顶点
对立事件,拥有,概率
必然事件,反义,对立事件
必然事件,拥有,概率
必然事件,无关,互斥
对立事件,近义,互斥
概率,无关,互斥
两两互斥事件,被依赖,加法公式
两两互斥事件,无关,对立事件
两两互斥事件,属于,互斥事件
两两互斥事件,属于,事件
两两互斥事件,拥有,概率
加法公式,无关,对立事件
加法公式,依赖,互斥事件
加法公式,无关,事件
加法公式,包含,概率
对立事件,包含,互斥事件
对立事件,属于,事件
互斥事件,属于,事件
互斥事件,拥有,概率
事件,拥有,概率
充要条件,无关,多边形
充要条件,无关,奇数
充要条件,依赖,命题
多边形,无关,奇数
多边形,无关,命题
奇数,无关,命题
正整数,无关,质因子
正整数,无关,质因数
正整数,无关,因数
正整数,无关,质数
正整数,无关,素因数
质因子,同义,质因数
质因子,属于,因数
质因子,属于,质数
质因子,同义,素因数
质因数,属于,因数
质因数,属于,质数
质因数,同义,素因数
因数,无关,质数
因数,包含,素因数
质数,包含,素因数
垂直于,无关,半径
垂直于,无关,切线
垂直于,无关,直线
半径,无关,切线
半径,无关,直线
切线,属于,直线
割线,无关,切点
割线,无关,相切
割线,无关,曲线
割线,无关,切线
割线,属于,直线
切点,被依赖,相切
切点,无关,曲线
切点,被依赖,切线
切点,无关,直线
相切,无关,曲线
相切,依赖,切线
相切,无关,直线
曲线,无关,切线
曲线,包含,直线
垂直于,无关,切点
半径,无关,切点
垂直于,无关,端点
垂直于,无关,圆
端点,无关,半径
端点,无关,切线
端点,无关,圆
端点,无关,直线
切线,属性,圆
圆,无关,直线
直线方程,包含,点斜式
直线方程,拥有,导数
直线方程,无关,切线
直线方程,拥有,斜率
点斜式,无关,导数
点斜式,无关,切线
点斜式,无关,斜率
导数,无关,切线
导数,被依赖,斜率
切线,无关,斜率
平面几何,包含,切线
平面几何,无关,公共交点
平面几何,包含,直线
平面几何,包含,圆
切线,无关,公共交点
公共交点,无关,直线
公共交点,无关,圆
直线,无关,圆
方程,无关,切点
方程,无关,切线
方程,属性,直线
方程,拥有,圆
切点,无关,圆
割线,无关,定点
切点,无关,定点
曲线,无关,定点
切线,无关,定点
垂直于,属性,法线
垂直于,无关,曲线
法线,无关,切点
法线,无关,曲线
法线,无关,切线
法线,属于,直线
几何,包含,曲线
几何,包含,切线
几何,包含,直线
(横)坐标,无关,曲线
(横)坐标,无关,切线
(横)坐标,无关,直线
垂直,无关,圆心
垂直,无关,切线
垂直,无关,交点
垂直,依赖,直线
垂直,无关,圆
圆心,无关,切线
圆心,无关,交点
圆心,无关,直线
切线,无关,交点
交点,无关,直线
交点,无关,圆
垂直于,无关,圆的切线
半径,无关,圆的切线
切点,被依赖,圆的切线
圆的切线,无关,直线
端点,无关,圆的切线
垂直于,无关,线段
垂直于,无关,直径
线段,无关,切线
线段,无关,直径
线段,无关,直线
线段,无关,圆
切线,无关,直径
直径,无关,直线
直径,属性,圆
垂直于,无关,圆心
切点,无关,圆心
平面几何,包含,圆的切线
圆的切线,无关,公共交点
圆的切线,无关,圆
定义,属性,曲线
曲线,无关,交点
公共点,无关,切点
公共点,无关,相切
公共点,无关,圆的切线
公共点,无关,直线
公共点,无关,圆
相切,无关,圆的切线
相切,无关,圆
相似三角形,无关,定义
相似三角形,无关,切割线定理
相似三角形,无关,切线
相似三角形,无关,圆
相似三角形,无关,直线
